Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
SRRM2	Q8BTI8;Q8BTI8-3	72690.7773299049	3840.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SLC6A11	P31650	349320.607727726	1905.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DYNC1LI2	Q6PDL0	543735.310716484	1455.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SRRT	Q99MR6;Q99MR6-3;Q99MR6-4;Q99MR6-2	121644.946324697	3108.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EPS15	P42567;F6W2Q5;Q5JC28	129015.183614007	3031.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PCCB	Q99MN9;E9Q1J7	546238.292527061	1447.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HDHD2	Q3UGR5;Q3UGR5-2	1694500.02809048	677.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GNB5	P62881-2	2301131.63692754	525.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HNRNPUL1	Q8VDM6;Q8VDM6-2	237394.208673151	2287.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CARS	Q9ER72;Q9ER72-2	335323.654368476	1950.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
WDR37	Q8CBE3	924858.80717524	1082.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GRPEL1	Q99LP6	1424153.19582788	795.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EIF5	P59325	471324.83060234	1597.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CBX5	Q61686	378472.262899115	1819.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
API5	O35841	544839.742952325	1453.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SNAP47	Q8R570;B2FDF6;Q8R570-2	1315416.02724268	851.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PSMD5	Q8BJY1	483417.517019652	1568.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RHOB	P62746	2823411.71128455	443.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RCN2	Q8BP92	496989.761103728	1541.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ADPRH	P54923	527607.084251935	1484.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ACSF2	Q8VCW8	392479.267253357	1791.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EPN1	Q80VP1-2	1309557.71050988	857.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TPD52L2	Q9CYZ2	1024643.33716697	1022.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ALDH1A1	P24549	202964.901875214	2478.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SH3GLB1	Q9JK48-2	867958.101437242	1129.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ABCD3	P55096	287837.341891633	2093.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ELAVL3	Q60900;Q60900-2	493108.751344465	1550.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
KIF21A	Q9QXL2;E9Q0J5	383690.568206173	1808.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PPP1CB	P62141	1196905.84095682	914.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PPP3CB	E0CZ78;P48453;P48453-2;G3X8U7;E9Q6P2	1410261.554048	803.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RPS26	P62855	1057671.56138349	996.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CXADR	P97792;P97792-2	434519.94350846	1685.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DDX21	Q9JIK5	33068.9464067493	4993.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
FLOT1	O08917;G3UYU4	1988142.02270066	592.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CDK5	P49615	2088713.24078594	566.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PLXNA4	Q80UG2	318910.713627412	2002.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
NCEH1	Q8BLF1	1176712.31855198	930.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ARHGAP35	Q91YM2	282300.105627177	2116.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SGTA	Q8BJU0	777067.780007739	1184.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
AHNAK2	F7DBB3;Q3URZ6	5329.74471766692	7224.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
LANCL2	Q9JJK2;F6RJV6	1881122.23983004	618.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PITRM1	Q8K411-2;Q8K411;Q8K411-3	225049.320068708	2337.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
LAMP2	P17047;P17047-2	105937.060335175	3309.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PDAP1	Q3UHX2	1858628.4687819	631.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ANXA4	P97429;D3Z0S1;F7ANV6;S4R1F2	72085.5805487134	3854.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SIRPA	P97797-2	1870291.04974222	625.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CDV3	Q4VAA2;A0A087WNP6;Q4VAA2-2	799180.023353348	1174.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
BLVRB	Q923D2;E9PZC3;E9PZC4	541679.222948365	1457.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PEPD	Q11136	313685.147896273	2017.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CYFIP1	Q7TMB8	221679.386333778	2364.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TRP53BP1	A2AU91	33142.0324220344	4988.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EIF1	P48024;J3QN87	1467981.52981946	773.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CTNNA1	P26231	266396.625810265	2177.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CASP3	P70677	297991.03474691	2058.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
AKAP5	D3YVF0;H3BIV5	1429021.67760357	792.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
YKT6	Q9CQW1	1947385.40498086	604.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CRKL	P47941	759656.611969158	1195.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HK3	Q3TRM8;E9Q8S8;E9Q3Z4	1433.84136421574	7740.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GPS1	G3UXW9;Q99LD4;Q3MIA8;B1ATU4;Q99LD4-2	716708.374428102	1242.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ABR	Q5SSL4;Q5SSL4-2;E9PUE7	675182.522915257	1292.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
NEGR1	Q80Z24;D3Z4T6;A0A4W9	2584375.52751321	479.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PAPSS1	Q60967	158913.043000495	2784.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATAD3	Q925I1;Q925I1-2	526012.222116426	1491.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ELMO1	Q8BPU7;Q8BPU7-3	203337.355013936	2474.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TFG	Q9Z1A1;F6QJV5;B8JJG7;B8JJG6	689802.060806832	1269.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
FARP1	F8VPU2	460129.744251098	1621.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GPD1L	Q3ULJ0;Q3ULJ0-2	1458602.73448049	778.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GTF2I	Q9ESZ8-6;Q9ESZ8	201100.467578771	2489.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ANKFY1	Q810B6	226143.927938775	2330.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP6V1G1	Q9CR51	862341.30033466	1134.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CDC5L	Q6A068	215647.045865832	2405.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CDH2	P15116;D3YYT0	682150.267467486	1280.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SUPT16;SUPT16H	G3X956;Q920B9	93870.6134346217	3484.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
AUH	Q9JLZ3;F6RT60;F6R307	1445960.13844427	785.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CAMK2G	Q923T9	1475576.18873187	767.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TPP1	O89023	501174.470383643	1535.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SUMO2	P61957;H7BWX9;D3Z794	918927.286697429	1086.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ARPC5L	Q9D898;A3KGQ6	3363961.88566466	363.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
NDUFS5	Q99LY9;B1ARW4	3411480.86802456	358.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
VTA1	Q9CR26;F6W5Q8	674928.364663357	1293.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SRC	P05480;Q80XU2	678078.744702789	1288.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DYNLL2	Q9D0M5	7139833.33273849	165.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TCEAL5	Q8CCT4	1760037.28550051	663.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
STRN	O55106;F8WH41	463626.632691546	1611.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SEC22B	O08547;E9Q6R3	1846267.78004676	636.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
BSG	P18572;P18572-2;K3W4Q8;J3QP71	685518.763650411	1277.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATL1	Q8BH66	1289878.52834834	866.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GSTO1	O09131	655924.295424747	1314.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
MOG	Q61885;Q3UY21;Q29ZQ5	428802.858290936	1698.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
IDI1	G3XA48	361279.082086221	1871.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HPCA	P84075;E9PV73;A2A7R5	2641711.65843548	473.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EIF4G2	G3XA17	323893.39196551	1987.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PPA2	Q91VM9	1305424.84077208	861.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
