Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MDGA1	E9PY95;D3Z499;Q0PMG2;E9Q6S8	31973.6202987864	5296.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TAF9	Q8VI33;A0A087WNM2;A0A087WR08;A0A087WQ57	18576.0380295579	6112.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HSPB11	Q9D6H2	77299.8857473002	3983.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
SEPN1	D3Z2R5	8694.86755662571	7017.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
DCN	P28654	4507.52392277139	7457.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MRPL54	Q9CPW3	139796.678131887	3181.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TMED1	Q3V009;Q3V009-2	49358.2699101079	4641.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TMEFF2	Q9QYM9	17723.1107753145	6182.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
FUNDC1	Q9DB70;H3BJ77;H3BJZ1	158215.174507948	2994.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
WDR34	Q5U4F6;A2BE91	52261.220106053	4563.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TPGS1	Q99MS8	50351.3983198864	4612.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
SLC6A7	Q6PGE7	126244.918647481	3298.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
EPHA3	Q8BRB1;P29319	2859.0561158807	7648.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
CSNK1G3	Q8C4X2	70475.3502834064	4129.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
PELI1	Q8C669	10251.7563963384	6852.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
