Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	0.312521	9910.0	Neurons	Fractionated	3	div10	Neurons_div10
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	12597.6	3471.0	Neurons	Fractionated	3	div10	Neurons_div10
PPM1H	Q3UYC0;Q3UYC0-2	36335.4	2280.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB10	P61027	1164410.0	242.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB12	A2CG35	87870.3	1468.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB12	P35283	0.0		Neurons	Fractionated	3	div10	Neurons_div10
RAB1B	Q9D1G1	676614.0	391.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB29	E9QLQ7;Q91YQ1	7911.59	4115.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB35	Q6PHN9	379516.0	595.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB3A	P63011	852452.0	324.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB3B	Q9CZT8;A2A7Z6	49259.9	1989.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB3D	P35276;D3YWL1;D3YW33	376248.0	602.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB43	Q8CG50;D3Z444	1809.37	6139.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB7A	P51150	1308200.0	215.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB8A	P55258	164993.0	1034.0	Neurons	Fractionated	3	div10	Neurons_div10
RAB8B	P61028	89504.3	1454.0	Neurons	Fractionated	3	div10	Neurons_div10
RILPL1	Q9JJC6	3344.73	5287.0	Neurons	Fractionated	3	div10	Neurons_div10
RILPL2	Q99LE1	6653.87	4332.0	Neurons	Fractionated	3	div10	Neurons_div10
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	8682.37	3995.0	Neurons	Fractionated	3	div10	Neurons_div10
SPAG9	Q58A65;F6SH61	10.3324	9790.0	Neurons	Fractionated	3	div10	Neurons_div10
